Route_ID,Route_Name,Action_Taken,New_Route_ID,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,HV_POI_Count,Overlap_Metric,Geo_Source,Map_File
R0280,JANIPUR ↔ GUJJAR COLONY,UPGRADED_TO_TRUNK,CMP-04,3.471,Urban,237.9,41.6,City_Core,6,9.0,4,2.0,0.9613,0.2414,1.25,0.7517,False,HP,10,5,5,0,True,CMP-04,96,5,0.3814,OSRM,route_maps/CMP-04.html
R0282,JANIPUR ↔ MAKWAL CAMP,RETAINED_AS_FEEDER,FDR-369,59.322,Regional_District,3887.0,686.5,City_Core,118,177.0,11,5.5,0.1493,0.0353,0.75,0.0692,True,MP,90,8,0,8,False,,251,12,0.0788,OSRM,route_maps/FDR-369.html
R0286,JANIPUR ↔ KHAIRIAN,RETAINED_AS_FEEDER,FDR-429,3.471,Urban,237.9,41.6,City_Core,6,9.0,4,2.0,0.9613,0.2414,0.75,0.451,False,MP,30,2,0,2,False,,96,5,0.3814,OSRM,route_maps/FDR-429.html
R0288,JANIPUR ↔ SAINIK COLONY,UPGRADED_TO_TRUNK,CMP-04,3.471,Urban,237.9,41.6,City_Core,6,9.0,4,2.0,0.9613,0.2414,1.25,0.7517,False,HP,10,5,5,0,True,CMP-04,96,5,0.3814,OSRM,route_maps/CMP-04.html
R0289,JANIPUR ↔ MALKEY CHAK MAKWAL,RETAINED_AS_FEEDER,FDR-370,59.322,Regional_District,3887.0,686.5,City_Core,118,177.0,11,5.5,0.1493,0.0353,0.75,0.0692,True,MP,90,8,0,8,False,,251,12,0.0788,OSRM,route_maps/FDR-370.html
R0290,JANIPUR ↔ MUTHI MISHRI WALA,RETAINED_AS_FEEDER,FDR-030,10.787,Urban,612.1,120.8,City_Core,21,31.5,6,3.0,0.9959,0.1747,0.75,0.439,True,MP,30,5,0,5,False,,252,9,0.2391,OSRM,route_maps/FDR-030.html
R0291,JANIPUR ↔ LADORE,RETAINED_AS_FEEDER,FDR-141,19.665,Peri_Urban,1226.2,228.5,City_Core,39,58.5,9,4.5,0.7121,0.0959,0.75,0.303,True,MP,30,8,0,8,False,,332,9,0.1622,OSRM,route_maps/FDR-141.html
R0292,JANIPUR ↔ KOTHEY MASADPUR,RETAINED_AS_FEEDER,FDR-168,11.623,Urban,739.4,135.6,City_Core,23,34.5,5,2.5,0.6421,0.1216,0.75,0.2864,True,MP,30,5,0,5,False,,175,8,0.2447,OSRM,route_maps/FDR-168.html
R0293,JANIPUR ↔ TALAB TILLO BOHRI,RETAINED_AS_FEEDER,FDR-430,3.451,Urban,211.6,38.6,City_Core,6,9.0,3,1.5,0.9806,0.1593,0.75,0.4275,False,MP,30,2,0,2,False,,100,3,0.3161,OSRM,route_maps/FDR-430.html
R0295,JANIPUR ↔ GUJJAR NAGAR,RETAINED_AS_FEEDER,FDR-134,32.355,Peri_Urban,2062.6,369.1,City_Core,64,96.0,6,3.0,0.7383,0.1092,0.75,0.3178,True,MP,30,13,0,13,False,,532,19,0.133,OSRM,route_maps/FDR-134.html
R0296,JANIPUR ↔ GHO SANDWAN,RETAINED_AS_FEEDER,FDR-245,20.425,Peri_Urban,1771.5,271.8,City_Core,40,60.0,9,4.5,0.5513,0.0641,0.75,0.2308,False,LP,60,5,0,5,False,,297,7,0.1096,OSRM,route_maps/FDR-245.html
R0299,JANIPUR ↔ LADORE,RETAINED_AS_FEEDER,FDR-142,19.665,Peri_Urban,1226.2,228.5,City_Core,39,58.5,9,4.5,0.7121,0.0959,0.75,0.303,True,MP,30,8,0,8,False,,332,9,0.1622,OSRM,route_maps/FDR-142.html
R0300,JANIPUR ↔ MUTHI MISHRIWALA SHAMA CHAK,RETAINED_AS_FEEDER,FDR-431,3.471,Urban,237.9,41.6,City_Core,6,9.0,4,2.0,0.9613,0.2414,0.75,0.451,False,MP,30,2,0,2,False,,96,5,0.3814,OSRM,route_maps/FDR-431.html
R0301,JANIPUR ↔ BARI BRAHMANA,RETAINED_AS_FEEDER,FDR-065,20.469,Peri_Urban,1419.5,243.8,City_Core,40,60.0,7,3.5,0.8732,0.1509,0.75,0.384,True,MP,30,9,0,9,False,,418,16,0.2032,OSRM,route_maps/FDR-065.html
R0302,JANIPUR ↔ LAHORI CHAK,RETAINED_AS_FEEDER,FDR-338,18.955,Peri_Urban,2018.2,287.7,City_Core,37,55.5,16,8.0,0.3558,0.0028,0.75,0.1345,False,LP,60,5,0,5,False,,262,0,0.0338,OSRM,route_maps/FDR-338.html
R0303,JANIPUR ↔ CHAK JAFFER,RETAINED_AS_FEEDER,FDR-115,8.395,Urban,608.5,107.3,City_Core,16,24.0,9,4.5,0.7383,0.1559,0.75,0.3353,False,MP,30,4,0,4,False,,168,7,0.1911,OSRM,route_maps/FDR-115.html
