New_Route_ID,Route_Name,Action_Taken,Route_Type,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Social_Flag
FDR-420,AMPHALLA ↔ JASMA,RETAINED_AS_FEEDER,Urban,HP,15,2,0,2,False,,43,False
FDR-234,AMPHALLA ↔ PHINDER,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,215,True
FDR-085,AMPHALLA ↔ DASOOR,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,262,True
FDR-421,AMPHALLA ↔ BADHORI SMAILPUR,RETAINED_AS_FEEDER,Urban,HP,15,2,0,2,False,,43,False
FDR-154,AMPHALLA ↔ BHATHINDI,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,294,True
FDR-273,AMPHALLA ↔ MARALIAN,RETAINED_AS_FEEDER,Peri_Urban,MP,30,12,0,12,False,,303,True
FDR-317,AMPHALLA ↔ LALYAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,144,True
FDR-167,AMPHALLA ↔ CHOHALLA TANDA KOTLI,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,127,True
FDR-019,AMPHALLA ↔ GOLE GUJRAL KHARIAN,RETAINED_AS_FEEDER,Urban,MP,30,3,0,3,False,,158,False
FDR-306,AMPHALLA ↔ MARALIAN MAMKA KHOUR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,218,True
FDR-345,BABA TALAB ↔ MARH,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,False,,382,False
FDR-001,BABA TALAB ↔ MARH GAJANSOO,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,403,False
FDR-123,BAHU FORT ↔ KUNJWANI,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,753,False
FDR-071,BAHU FORT ↔ BANTALAB OLD MOHALLA,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,232,True
FDR-365,BAHU FORT ↔ RAIPUR,RETAINED_AS_FEEDER,Regional_District,MP,90,8,0,8,False,,416,True
FDR-079,BAHU FORT ↔ JANIPUR COLONY,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,185,True
FDR-081,BAHU FORT ↔ AGHORE,RETAINED_AS_FEEDER,Urban,MP,30,3,0,3,False,,104,True
FDR-124,BAHU FORT ↔ KUNWANI,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,753,False
FDR-055,BAHU FORT ↔ MUTHI CAMP PHASE II,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,172,True
FDR-254,BAHU FORT ↔ GHAROTA,RETAINED_AS_FEEDER,Peri_Urban,MP,30,12,0,12,False,,362,True
